course_name,institution,location,description,cost,dur_period,dur_number,extra_0,extra_1,extra_2,extra_3
Data Science,South Dakota State University,Online,The Graduate Certificate in Data Science at South Dakota State University  provides training in a wide range of powerful data science analysis and computation methodologies that have proven to be extremely valuable in today’s data rich businesses and organizations. ,304 EUR / credit,,,Graduate Certificate,Part-time,,
Data Science,DePaul University,"Chicago, Illinois, United States","As a Data Science major at DePaul University, you will develop a deep understanding of computer science, mathematics and information management — the three primary components of the data science profession.","35,164 EUR / year",month,48,B.Sc.,Full-time,,
Data Science,Maynooth University,"Maynooth, Ireland","Data Science at the Maynooth University is the science of collating, managing, analysing, visualising and understanding data. It is key to unlocking the hidden wisdom that is stored in the vast amounts of data available in today’s world.","15,000 EUR / year",month,48,B.Sc.,Full-time,,
Data Science,Mercyhurst University,"Erie, Pennsylvania, United States",Data Science undergraduate major from Mercyhurst University is designed to equip you with the skills you need to become a data scientist. ,"32,518 EUR / year",month,48,B.Sc.,Full-time,,
Data Science,IT University of Copenhagen,"Copenhagen, Denmark","With a BSc in Data Science from IT University of Copenhagen, you will become the next generation analyst — a data scientist with comprehensive analytical and technical skills covering all aspects of handling and analysing data. By deriving key insights from data, you will be driving the decision-making of the future. ","13,400 EUR / year",month,36,B.Sc.,Full-time,,
Data Science,Jheronimus Academy of Data Science (JADS),Multiple locations,"The Data Science degree is a joint undergraduate program by Tilburg University and Eindhoven University of Technology, offered at the Jheronimus Academy of Data Science (JADS). The bachelor is an English taught program that teaches you to analyze and apply complex, unstructured data to provide new insights to unsolved issues faced by government, industry and society. ","8,700 EUR / year",month,36,B.Sc.,Full-time,,
Data Science,UC Berkeley Global,Online,"Data is everywhere—from e-commerce sales, app downloads to a smartphone, to supply chain management or bioinformatics or connected devices. And that massive increase in the amount and variety of data being collected is translating to an exponential growth in the computer power needed to process that data. To learn more about it, join the Data Science program at University of California, Berkeley.","1,474 EUR / year",month,36,Pre-Bachelor,Part-time,,
Data Science,Houghton College,"New York City, New York, United States","Turn data into actionable intel. Find the meaning in the numbers, and use it to manage and interpret data to solve the world’s problems. The Data Science program is offered by Houghton College.","29,414 EUR / year",month,48,Bachelor,Full-time,,
Data Science,DePaul University,"Chicago, Illinois, United States",The Bachelor of Arts in Data Science program from DePaul University offers a curriculum that focuses on developing analytical and technical skills necessary for analyzing massive amounts of data and extracting information from complex data sources.,"35,164 EUR / year",month,48,B.A.,Full-time,,
Data Science,University of Rochester,"Rochester, New York, United States","The Data Science program of University of Rochester is part of the Goergen Institute and offers both a BA and BS. Both programs combine computer science, statistics, and a student’s choice of advanced coursework in an application area of data science, including business, biology, earth and environmental science, political science, and others.","49,591 EUR / year",month,48,Bachelor,Full-time,,
Data Science-Economics Cognate,College of Charleston,"Charleston, South Carolina, United States","Data Science addresses data mining, predictive analytics and machine learning in big data. This Data Science-Economics Cognate program at College of Charleston is a mathematically and computationally rigorous, interdisciplinary program, enabling the discovery of patterns in large sets of data sets and data streams.","28,484 EUR / year",month,48,B.Sc.,Full-time,,
Data Science-Finance Cognate,College of Charleston,"Charleston, South Carolina, United States","Data Science addresses data mining, predictive analytics and machine learning in big data. This Data Science-Finance Cognate program at College of Charleston is a mathematically and computationally rigorous, interdisciplinary program, enabling the discovery of patterns in large sets of data sets and data streams. ","28,484 EUR / year",month,48,B.Sc.,Full-time,,
Data Science-Geoinformatics Cognate,College of Charleston,"Charleston, South Carolina, United States","Data Science addresses data mining, predictive analytics and machine learning in big data. This Data Science-Geoinformatics Cognate program at College of Charleston is a mathematically and computationally rigorous, interdisciplinary program, enabling the discovery of patterns in large sets of data sets and data streams. ","28,484 EUR / year",month,48,B.Sc.,Full-time,,
Data Science-Biomechanics Cognate,College of Charleston,"Charleston, South Carolina, United States","Data Science addresses data mining, predictive analytics and machine learning in big data. This Data Science-Biomechanics Cognate program at College of Charleston is a mathematically and computationally rigorous, interdisciplinary program, enabling the discovery of patterns in large sets of data sets and data streams. ","28,484 EUR / year",month,48,B.Sc.,Full-time,,
Data Science,Western Michigan University,"Kalamazoo, Michigan, United States","Data science is a rapidly evolving discipline at the intersection of statistics and computer science. The field’s progression has been driven by the surge in processing power available and the increasing amount of data collected, stored and made available in every facet of business, science and government. ","14,407 EUR / year",month,48,Bachelor,Full-time,,
Data Science,NYU Shanghai,"Shanghai, China","The Data Science program from NYU Shanghai is designed to create data-driven leaders with a global perspective, a broad education, and the capacity to think creatively. Data science involves using computerized methods to analyze massive amounts of data and to extract knowledge from them. ","43,952 EUR / year",month,48,Bachelor,Full-time,,
Computer Science (Data Science) (Hons),Heriot-Watt University Dubai,"Dubai, United Arab Emirates","The BSc Computer Science (Data Science) (Hons) degree at Heriot-Watt Dubai focuses on constructing robust and useable systems. As well as looking at cutting edge tools and techniques, it’s designed to help you build the next generation of software tools that other system constructors will use. ","15,525 EUR / year",month,48,B.Sc.,Full-time,,
Data Science -E-Commerce Cognate,College of Charleston,"Charleston, South Carolina, United States","Data Science addresses data mining, predictive analytics and machine learning in big data. This Data Science -E-Commerce Cognate program at College of Charleston is a mathematically and computationally rigorous, interdisciplinary program, enabling the discovery of patterns in large sets of data sets and data streams. ","28,484 EUR / year",month,48,B.Sc.,Full-time,,
Data Science-Exercise Physiology Cognate,College of Charleston,"Charleston, South Carolina, United States","Data Science addresses data mining, predictive analytics and machine learning in big data. This Data Science-Exercise Physiology Cognate program at College of Charleston is a mathematically and computationally rigorous, interdisciplinary program, enabling the discovery of patterns in large sets of data sets and data streams. ","28,484 EUR / year",month,48,B.Sc.,Full-time,,
Data Science-Supply Chain Management,College of Charleston,"Charleston, South Carolina, United States","Data Science addresses data mining, predictive analytics and machine learning in big data. This Data Science-Supply Chain Management program at College of Charleston is a mathematically and computationally rigorous, interdisciplinary program, enabling the discovery of patterns in large sets of data sets and data streams. ","28,484 EUR / year",month,48,B.Sc.,Full-time,,
Data Science,Lipscomb University,"Nashville, Tennessee, United States","The Data Science program offered by the Lipscomb University focuses on the relationship between data, technology, and people. ","27,818 EUR / year",month,48,B.Sc.,Full-time,,
Philosophy with Data Science,New College of the Humanities,"London, England, United Kingdom","The Philosophy with Data Science BA (Hons) combines the study of Philosophy and Data Science. This innovative undergraduate degree equips you with a combination of communications, critical thinking and technological expertise that is highly prized in the evolving employment market.","15,451 EUR / year",month,36,B.A.,Full-time,,
Data Science,Winona State University,"Winona, Minnesota, United States",The Data Science program at Winona State University was developed in consultation with several industry partners which ensures graduates will have the skills necessary to meet the rapidly growing demand for data scientists.,"3,198 EUR / year",month,48,B.Sc.,Full-time,,
Data Science,UC Berkeley Global,Online,"Are you looking to build a career as a data analyst or data scientist, or need to better understand data science in your current position? This 2-month Data Science certificate from University of California, Berkeley gives you in-depth understanding about how to effectively use data to make sound business decisions.","6,937 EUR / full",month,2,Pre-Bachelor,Part-time,,
Data Science,The University of Vermont,"Burlington, Vermont, United States","The curriculum of the Data Science degree offered by The University of Vermont prepares students for careers in Big Data Science & Analytics, a rapidly growing field with huge unmet demand.","35,796 EUR / year",month,48,B.Sc.,Full-time,,
Data Science,S P Jain School of Global Management,Multiple locations,"The Data Science (BDS) programme at S P Jain School of Global Management is a 3-year course designed to prepare graduates who can conduct data-driven investigations, and conduct visual and advanced analytics by acquiring and managing data of all types. ","18,644 EUR / year",month,36,Bachelor,Full-time,,
Data Science-Organismal Biology Cognate,College of Charleston,"Charleston, South Carolina, United States","Data Science addresses data mining, predictive analytics and machine learning in big data. This Data Science-Organismal Biology Cognate program at College of Charleston is a mathematically and computationally rigorous, interdisciplinary program, enabling the discovery of patterns in large sets of data sets and data streams.","28,484 EUR / year",month,48,B.Sc.,Full-time,,
Data Science-Customer Relationship Management Cognate,College of Charleston,"Charleston, South Carolina, United States","Data Science addresses data mining, predictive analytics and machine learning in big data. This Data Science-Customer Relationship Management Cognate program at College of Charleston is a mathematically and computationally rigorous, interdisciplinary program, enabling the discovery of patterns in large sets of data sets and data streams. ","28,484 EUR / year",month,48,B.Sc.,Full-time,,
Data Science-Psychology Cognate,College of Charleston,"Charleston, South Carolina, United States","Data Science addresses data mining, predictive analytics and machine learning in big data. This Data Science-Psychology Cognate program at College of Charleston is a mathematically and computationally rigorous, interdisciplinary program, enabling the discovery of patterns in large sets of data sets and data streams. ","28,484 EUR / year",month,48,B.Sc.,Full-time,,
Data Science and Analytics,Saint Ambrose University,"Davenport, Iowa, United States","Numbers tell stories but not everyone speaks the language. As business moves deeper into the digital age, the need for curious and talented data scientists and analysts rapidly grows. Does data speak to you? Join this state-of-the-industry Data Science and Analytics program from Saint Ambrose University and see where data can take you.","32,478 EUR / year",month,48,Bachelor,Full-time,,
Data Science-Molecular Biology Cognate,College of Charleston,"Charleston, South Carolina, United States","Data Science addresses data mining, predictive analytics and machine learning in big data. This Data Science-Molecular Biology Cognate program at College of Charleston is a mathematically and computationally rigorous, interdisciplinary program, enabling the discovery of patterns in large sets of data sets and data streams. ","28,484 EUR / year",month,48,B.Sc.,Full-time,,
Data Science,University of Massachusetts Dartmouth,"New York City, New York, United States","The Data Science program of University of Massachusetts Dartmouth is an interdisciplinary, integrating mathematics and computer science with disciplines such as business, engineering, healthcare, planning, science, and sociology.","26,104 EUR / year",month,48,B.Sc.,Full-time,,
Arts with Data Science,"National University of Ireland, Galway","Galway, Ireland","The Arts with Data Science programme at National University of Ireland, Galway is the art of extracting useful knowledge from raw data, and then communicating that knowledge to others. Data scientists need strong quantitative and coding skills, but they are not narrow technical specialists. ","16,650 EUR / year",month,48,B.A.,Full-time,,
Data Science,Montana Technological University,"Butte, Montana, United States","Prepare for high-paying, in-demand jobs through the Data Science program of Montana Technological University. Montana Tech’s data science degree delivers rigorous courses in data science as well as statistics and computer science.","39,022 EUR / year",month,48,B.Sc.,Full-time,,
Computer Science (Data Science),Swinburne University of Technology,"Melbourne, Victoria, Australia","The Bachelor of  Computer Science (Data Science) from the Swinburne University of Technology involves the use of the most up-to-date technology and methods, and includes a major emphasis on software development. ","19,543 EUR / year",month,36,B.Sc.,Full-time,Part-time,
"Computer Science, Economics, and Data Science",Massachusetts Institute of Technology (MIT),"Cambridge, Massachusetts, United States","The Bachelor of Science in Computer Science, Economics and Data Science from Massachusetts Institute of Technology (MIT) is aimed at educating students at this intellectual nexus and equipping them with a foundational knowledge of economic analysis, computing, optimization and data science.","46,349 EUR / year",month,48,B.Sc.,Full-time,,
Computer Science - Data Analytics,Saint Mary's University of Minnesota,"Winona, Mississippi, United States","Combining the knowledge and training for analytically focused careers in business with the programming skills necessary for working with data, the Computer Science - Data Analytics program offered by Saint Mary's University of Minnesota may be what you are looking for.","31,261 EUR / year",month,48,B.A.,Full-time,,
Computer Science - Data Science,Indiana University Bloomington,"Bloomington, Indiana, United States","Behind every awesome website, must-have mobile app, or mission-critical data management system is a computer scientist—or a team of computer scientists—that made it happen. The Computer Science - Data Science program is offered at Indiana University Bloomington.","32,605 EUR / year",month,48,Bachelor,Full-time,,
Computer Science with Data Science (Hons),University College Dublin,"Dublin, Ireland","If you have an interest in technology and trends, this Computer Science with Data Science (Hons) degree from University College Dublin could be for you. ","25,600 EUR / year",month,48,B.Sc.,Full-time,,
Computer Science: Data Science,The University of Tennessee at Chattanooga,"Chattanooga, Tennessee, United States","The Computer Science: Data Science program at The University of Tennessee at Chattanooga prepares students for productive and challenging careers in computer science, information technology, and computer engineering, and to function as leaders in a technological society.","21,677 EUR / year",month,48,B.Sc.,Full-time,,
Data Science,Purdue University,"West Lafayette, Indiana, United States","In today’s world, everything is generating data – from a farmer’s combine on the fields to a patient’s electronic medical records to the videos you watch on YouTube. ","24,969 EUR / year",month,48,B.Sc.,Full-time,,
Data Science (Hons),Liverpool John Moores University,"Liverpool, England, United Kingdom",Data Science (Hons) at Liverpool John Moores University is an emerging discipline exploiting the huge volumes of data generated by modern computer systems to extract meaningful knowledge.,"17,217 EUR / year",month,36,B.Sc.,Full-time,,
Data Science and Decisions,University of New South Wales,"Kensington, New South Wales, Australia","This Data Science and Decisions degree from University of New South Wales blends mathematical methods, statistics, computing, business decisions and communication to give you the theoretical and practical skills you need to enter this lucrative field. ","30,255 EUR / year",month,36,Bachelor,Full-time,,
Economics with Data Science,New College of the Humanities,"London, England, United Kingdom",The Economics with Data Science BSc from New College of the Humanities in partnership with Northeastern University will help you to develop quantitative skills and study the structures which affect real-life decisions around the world.,"15,451 EUR / year",month,36,B.Sc.,Full-time,,
Data Science and Statistics,University of Lynchburg,"Virginia, Minnesota, United States","The B.S. in Data Science and Statistics at University of Lynchburg is designed to provide students with the broad range of core competencies required of all statistics professionals, as well as the opportunity to acquire an understanding of selected advanced topics and explores the science of learning from data. ","35,475 EUR / year",month,48,B.Sc.,Full-time,,
English with Data Science,New College of the Humanities,"London, England, United Kingdom","For this English with Data Science degree from New College of the Humanities in partnership with Northeastern University, you will study a broad range of literature from 1550 to the present day, and focus on literary forms and how they have changed over time.","15,451 EUR / year",month,36,B.A.,Full-time,,
Data Science,Edge Hill University,"Cambridge, England, United Kingdom","This BSc (Hons) in Data Science provides technical skills and insight in the areas of data creation, processing, analysing, visualising and interpreting data. ","13,244 EUR / year",month,36,B.Sc.,Full-time,Part-time,
Data Science (Hons),Liverpool John Moores University,"Liverpool, England, United Kingdom",Completing the MComp Data Science (Hons) programme at Liverpool John Moores University will enable you to graduate with a Masters-level qualification.,"17,217 EUR / year",month,48,Bachelor,Full-time,,
Data Science,University of San Francisco,"San Francisco, California, United States"," The B.S. in Data Science at University of San Francisco prepares you to be ready to acquire, manage, and explore the data that’s inspiring change around the world.","45,031 EUR / year",month,48,B.Sc.,Full-time,,
Data Science,Duke Kunshan University,"Kunshan, China","The Data Science program from Duke Kunshan University deals with the theories, methodologies and tools of applying statistical concepts and computational techniques to various data analysis problems related to science, engineering, medicine, business, etc. ","24,228 EUR / year",month,48,Bachelor,Full-time,,
Data Science,University of Michigan-Dearborn,"Dearborn Heights, Michigan, United States","With the Data Science program of University of Michigan-Dearborn, you’ll learn how to extract useful knowledge from data in various forms that help drive evidence-based decisions.","21,228 EUR / year",month,48,B.Sc.,Full-time,,
Computational and Data Sciences,George Mason University,"Fairfax, Virginia, United States","The Computational and Data Sciences programme from George Mason University  is a transformative approach that integrates science based on the combination of real-world computer science skills, data acquisition and analysis, scientific modeling, applied mathematics, and simulation.","31,669 EUR / year",month,48,B.Sc.,Full-time,,
Data Science,York St John University,"London, England, United Kingdom",The Data Science degree at York St John University will open up the hidden world of data to you and give you the skills needed to turn raw data into powerful and profound patterns and stories. Every day vast amounts of data are created and collected as we go about our lives. ,"14,071 EUR / year",month,36,B.Sc.,Full-time,Part-time,
Statistics and Data Science,California University of Pennsylvania,"California, Maryland, United States","With a Statistics and Data Science program from California University of Pennsylvania, you'll be prepared to meet the growing demand for skilled data scientists in a variety of fields. ","10,036 EUR / year",month,48,B.Sc.,Full-time,Blended Learning,
Law with Data Science,New College of the Humanities,"London, England, United Kingdom","The Law with Data Science (Hons) programme at New College of the Humanities in partnership with Northeastern University, covering all of the Solicitors’ Regulation Authority and Bar Standards Board required areas of study to permit progression onto the professional training courses for qualification as a solicitor or barrister.","15,451 EUR / year",month,36,L.L.B.,Full-time,,
Data Science,Mills College,"Oakland, Tennessee, United States","Healthcare, climate change, racial justice—data science impacts issues that matter. By choosing the Data Science major at Mills College, you use mathematics, computer science, statistics, and communication skills to inspire action in your career and community.","25,442 EUR / year",month,48,B.Sc.,Full-time,,
Data Sciences,Pennsylvania State University,"University Park, Pennsylvania, United States","The intercollege Data Sciences major at Pennsylvania State University will educate students on the technical fundamentals of data sciences, with a focus on developing the knowledge and skills needed to manage and analyze large scale unstructured data to address an expanding range of problems in industry, government, and academia. ","30,227 EUR / year",month,48,B.Sc.,Full-time,,
Data Sciences,Pennsylvania State University,"University Park, Pennsylvania, United States","The intercollege Data Sciences major at Pennsylvania State University will educate students on the technical fundamentals of data sciences, with a focus on developing the knowledge and skills needed to manage and analyze large scale unstructured data to address an expanding range of problems in industry, government, and academia. ","30,227 EUR / year",month,48,B.Sc.,Full-time,,
Data Science (Hons),University of Chichester,"Chichester, England, United Kingdom","Our IT systems and devices are constantly creating data and the amount of data created and stored grows exponentially. Data, and in particular patterns and trends within data, have the ability to inform and provide valuable insights, that help us predict and diagnose specific outcomes. Whilst the amount of data grows, the science of gaining insights from this data grows with it. ","14,347 EUR / year",month,36,B.Sc.,Full-time,,
Data Analytics,Ohio Wesleyan University,"Delaware, Ohio, United States","Data analytics is a rapidly growing profession across a wide range of fields, including finance, health care, insurance, biomedical research, computer science, marketing, and many other areas. We offer a bachelor degree in Data Analytics at Ohio Wesleyan University. ","41,866 EUR / year",month,48,B.Sc.,Full-time,,
Politics & International Relations with Data Science,New College of the Humanities,"London, England, United Kingdom","Politics & International Relations with Data Science BSc (Hons) will not only equip you with knowledge of political institutions and their interactions but also with the ability to communicate that knowledge creatively and accurately to a wide range of audiences, in a diverse variety of forms.","15,451 EUR / year",month,36,B.A.,Full-time,,
Data Analytics,University of Waikato,"Hamilton, New Zealand","Enhance productivity and help make more informed decisions, while using your Computer Science and Statistical analysis skills, through Data Analytics at the University of Waikato.","25,759 EUR / year",month,48,B.Sc.,Full-time,,
Computer Science and Engineering - Big Data,University of Petroleum and Energy Studies,"Dehra Dun, India",The Computer Science and Engineering - Big Data program of the University of Petroleum and Energy Studies equips students to work with the desired data engineering industry practices to efficiently store and process large volumes of untamed data.,"2,508 EUR / year",month,48,Bachelor,Full-time,,
Computational Modeling and Data Analytics,Virginia Tech,"Blacksburg, Virginia, United States","The Computational Modeling and Data Analytics program of Virginia Tech draws on expertise from four departments at Virginia Tech whose strengths are in quantitative science: Statistics, Mathematics, Computer Science, and Physics.","25,980 EUR / year",month,48,B.Sc.,Full-time,,
Data Science - Computer Science,Northwest Missouri State University,"Maryville, Missouri, United States","The first of its kind in Missouri and the region, Northwest’s Data Science - Computer Science major at the Northwest Missouri State University is an interdisciplinary program with four areas of emphasis: computer science, business, molecular biology and geographic information systems.","15,196 EUR / year",month,48,B.Sc.,Full-time,,
Data Science and Knowledge Engineering,Maastricht University,"Maastricht, Netherlands","In the Data Science and Knowledge Engineering bachelor's programme offered by Maastricht University, you'll study logic, intelligent search, and machine learning. You'll collect and organise relevant information using mathematics and smart computer techniques.","10,900 EUR / year",month,36,B.Sc.,Full-time,,
Applied Data Science,Noroff School of Technology and Digital Media,"Kristiansand, Norway",The Applied Data Science programme from Noroff School of Technology and Digital Media teaches you scientific methods for working with data in a practical and relevant way.,"8,800 EUR / year",month,36,Bachelor,Full-time,Online,
Environmental Data Science,Faculty of Environmental Sciences,"Prague, Czech Republic","In the age of big data, data is power. Learn how to use this power, to help protect and extend the planet’s natural resources and improve the lives of people everywhere. Choose the Bachelor of Environmental Data Science (BEDS) to combine academic rigor with applications to observe and analyze our land, water, air and biosphere. ",400 EUR / year,month,36,Bachelor,Full-time,,
Data Science,Harbour.Space University,"Barcelona, Spain","Data Science BSc from Harbour Space offers students with basic analytic skills and a strong aptitude for mathematics, programming, and logical reasoning the best in the world opportunity for in-depth study of Computer science concepts and theories in highly practical and cutting edge educational environment.","19,900 EUR / year",month,36,B.Sc.,Full-time,Online,
Politics & International Relations with Data Science BA (Hons),New College of the Humanities,"London, England, United Kingdom","The central aim of the Politics and International Relations with Data Science (Hons) programme at New College of the Humanities in partnership with Northeastern University is to train you to effectively use databases, systems and analytical tools to generate insights and intelligence. ","15,451 EUR / year",month,36,B.A.,Full-time,,
Data Analytics,University of Waikato,"Hamilton, New Zealand","Enhance productivity and help make more informed decisions, while using your Computer Science and Statistical analysis skills, through Data Analytics at the University of Waikato.","27,571 EUR / year",month,36,B.Sc.,Full-time,,
