course_name,institution,location,description,cost,dur_period,dur_number,extra_0,extra_1,extra_2,extra_3,extra_4,class,degree,enrollment,online,in_person,blended_learning
Health Informatics,University of South Alabama,"Mobile, Alabama, United States",Bachelor of Science Health Informatics is offered by the University of South Alabama.,595 EUR / credit,month,48.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
Business and Economic Analytics,Boise State University,"Boise, Idaho, United States","Our newest degree program, Business and Economic Analytics, provides its graduates with the skill set necessary to turn Big Data into actionable information that supports strategic business decision.","20,549 EUR / year",month,48.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
Applied Mathematics - Statistics,Aberystwyth University,"Aberystwyth, Wales, United Kingdom",In choosing to study the Applied Mathematics - Statistics degree offered at Aberystwyth University you will uncover a fascinating and challenging discipline that combines the identification and analysis of shapes and patterns with data collation and calculation. ,"17,391 EUR / year",month,36.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
Computer Information Systems,Texas A&M University Central Texas,"Killeen, Texas, United States","The Bachelor of Sciences (BS) in Computer Information Systems at Texas A&M University Central Texas provides a solid foundation in critical thinking, analysis, design, building, and implementation of information systems.  ","12,743 EUR / year",month,48.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
Information Systems,George Fox University,"Newberg, Oregon, United States","If you’re seeking a degree that prepares you to find technological solutions in today’s business environment, George Fox University's bachelor's degree in information systems is an ideal fit.","29,818 EUR / year",month,48.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
Information Technology,Georgia Southern University,"Statesboro, Georgia, United States",The Department of Information Technology at Georgia Southern University trains tomorrow’s Internet and Intranet innovators – digital problem-solvers who will lead America’s fastest growing career field.,"4,723 EUR / year",month,48.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
"Statistics, General Concentration",Colorado State University,"Fort Collins, Colorado, United States","Students who succeed in the field of Statistics, General Concentration at Colorado State University provides a solid foundation in statistical theory as well as education and training in modern statistical methods.","10,422 EUR / year",month,48.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
Information Technology and Systems - Information Systems,Marist College,"Poughkeepsie, New York, United States","The Information Technology and Systems - Information Systems from Marist College gives students a broad background in the rapidly changing discipline of Information Systems, which serves as a bridge between Computer Science and Business. ","36,733 EUR / year",month,48.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
Mathematics (with Concentration in Probability and Statistics),California State University Fullerton,"Fullerton, California, United States","The curricula of the College of Natural Sciences and Mathematics are designed to prepare students for careers in scientific, mathematical and other technical fields; for further study and specialization in advanced graduate work; and for entry into professional schools of medicine and other health-related disciplines.  ","5,647 EUR / year",month,48.0,B.A.,Full-time,,,,Bachelor's,B.A.,Full-time,No,No,No
Computer Information Systems,Southern New Hampshire University,"Manchester, New Hampshire, United States","As a BS in Computer Information Systems (CIS) major at Southern New Hampshire University, you will learn to design and implement effective solutions within the computer information field. The CIS program at SNHU will help you to understand and meet organizational and management information requirements, and to serve as effective decision-making support.","26,582 EUR / year",month,48.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
Statistics,University of Saint Thomas Saint Paul,"Saint Paul, Minnesota, United States",Statistics is an interdisciplinary major that draws upon faculty and courses in the departments of Computer and Information Sciences and Mathematics.,"38,703 EUR / year",month,48.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
"Statistics, Mathematical Concentration",Colorado State University,"Fort Collins, Colorado, United States","Students who succeed in the field of Statistics, Mathematical Concentration at Colorado State University typically have strong quantitative skills, analytical minds, and like to help other people solve problems.","10,422 EUR / year",month,48.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
Statistics,Western Michigan University,"Kalamazoo, Michigan, United States","Statisticians design experiments, analyze data and interpret results. The National Science Foundation estimates that the demand for statisticians will exceed the number of graduates for at least the next 10 years.","14,359 EUR / year",month,48.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
Business Analysis and Technology and Human Resource Management,University of Strathclyde,"Glasgow, Scotland, United Kingdom",The BA in Business Analysis and Technology and Human Resource Management at The University of Strathclyde applies advanced analytical methods to business problems to help managers make better decisions while technology is at the heart of all modern business.,"16,840 EUR / year",month,36.0,B.A.,Full-time,,,,Bachelor's,B.A.,Full-time,No,No,No
Biosystems Analytics and Technology,University of Arizona,"Tucson, Arizona, United States","This Biosystems Analytics and Technology at University of Arizona prepares students for an array of career choices, from academia to industry, to meet the needs of the 4th Industrial Revolution.","31,633 EUR / year",month,48.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
Computer Sciences and Information Systems,National Louis University,"Chicago, Illinois, United States","The Computer Sciences and Information Systems programme from National Louis University is designed for students interested in how computer science and technology work, and how they can transform the workplace.","8,868 EUR / year",month,36.0,B.Sc.,Full-time,Blended Learning,,,Bachelor's,B.Sc.,Full-time,Blended,Blended,No
Data Communication and Networking (Hons),Universiti Teknologi Mara,"Kuala Lumpur, Malaysia","At present and even more in the future, smart phones, PDAs and tablet devices is getting common and they will be the media for pervasive/ubiquitous computing. This means that the information and business operations will be available at anywhere and anytime. The Data Communication and Networking (Hons) programme is offered at the Universiti Teknologi Mara.",,month,42.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
Information Technology - Network Design and Management,Faculty of Business (BUS),Multiple locations,"The Information Technology - Network Design and Management programme from University of Wollongong will provide you with an understanding of requirements gathering, requirements analysis and the development of logical design to physical application. You'll learn how architectures provide the framework for addressing and routing, performance characteristics, security and network management.","20,878 EUR / year",month,36.0,Bachelor,Full-time,Part-time,,,Bachelor's,Bachelor,Full-time & Part-time,No,No,No
Information Technology,Inholland University of Applied Sciences,"Haarlem, Netherlands","If you have a genuine interest in technology, internet, gaming or social media, this could be the Information Technology programme at the Inholland University of Applied Sciences you are looking for.","8,240 EUR / year",month,48.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
Mathematical Statistics,University of Pretoria,Multiple locations,The Mathematical Statistics programme from University of Pretoria is offered over a period of three years on a full-time basis. Students who have successfully completed their undergraduate programme have the option to register for an honours degree in Mathematical Statistics. ,"2,887 EUR / year",month,36.0,B.Sc.,Full-time,Blended Learning,,,Bachelor's,B.Sc.,Full-time,Blended,Blended,No
Mathematics and Statistics,Queen's University,"Kingston, Canada","The Mathematics and Statistics department at Queen’s University is multi-faceted. It has several areas of study with ties to Applied Science, Arts & Science, Apple Math, and notable Mathematics and Engineering.","29,824 EUR / year",month,48.0,B.Eng.,Full-time,,,,Bachelor's,B.Eng.,Full-time,No,No,No
Business Information Systems,Grand Canyon University,"Phoenix, Arizona, United States","Grand Canyon University’s Bachelor of Science in Business Information Systems degree, offered through the Colangelo College of Business, provides you with those skills, preparing you for a career in the management of technology and information systems. As technology continues to advance, the need for individuals with skills in information systems continues to increase. ","14,261 EUR / year",,,B.Sc.,Full-time,Part-time,Online,,Bachelor's,B.Sc.,Full-time & Part-time,Yes,Yes,No
Information Technology,University of North Texas,"Denton, Texas, United States",Are you customer service oriented? Have a desire to create computer networks or games? Want to ensure a company's information remains safe? Are you familiar with web programming languages? Then you should pursue a Bachelor of Arts degree in Information Technology at the University of North Texas.,"2,593 EUR / year",,,B.A.,Full-time,,,,Bachelor's,B.A.,Full-time,No,No,No
Diploma of Information Technology,Sydney Institute of Business and Technology,"Sydney, New South Wales, Australia",The Diploma of Information Technology at Sydney Institute of Business and Technology (SIBT) is ideal for students wishing to pursue a career in IT.,"16,658 EUR / full",month,8.0,Pre-Bachelor,Full-time,,,,Bachelor's,Pre-Bachelor,Full-time,No,No,No
Mathematics and Statistics,University of Reading,"Reading, England, United Kingdom","With the BSc Mathematics and Statistics degree offered at the University of Reading you will learn how to collect, analyse and interpret data whilst developing your knowledge of mathematics.","22,927 EUR / year",month,36.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
Information Systems,Grace College and Seminary,"Abbeville, Louisiana, United States","The Information Systems program of Grace College and Seminary will explore the ins and outs of computer technology. As you consider an array of colleges with Information Systems majors near you in the midwest, be assured that when you find your way to Winona Lake, Indiana, you will discover a top college for Information Systems taught with a biblical worldview.","22,931 EUR / year",month,48.0,Bachelor,Full-time,,,,Bachelor's,Bachelor,Full-time,No,No,No
Geoinformatics (Hons),University of Pretoria,"Pretoria, South Africa","In the Faculty of Natural and Agricultural Sciences, we strive to continuously improve our high impact research and significantly address the national shortage of PhD graduates that respond to global and local challenges. This Geoinformatics (Hons) programme is offered by University of Pretoria.","2,287 EUR / year",month,12.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
Management Information Systems and Business Analytics,Colorado State University Global,Online,The B.S. in Management Information Systems and Business Analytics  offered by Colorado State University Global Campus prepares you to be an organizational leader. ,"7,260 EUR / year",,,B.Sc.,Full-time,Part-time,,,Bachelor's,B.Sc.,Full-time & Part-time,No,No,No
Applied Statistics and Actuarial Science,Rochester Institute of Technology,"Rochester, New York, United States","The Applied Statistics and Actuarial Science program of University of Rochester Institute of Technology will provide students with a strong foundation in mathematical and statistical methodology, experience in its applications, a solid background in the use of statistical computing packages, and the skills to communicate the results of statistical analysis.","43,702 EUR / year",month,48.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
Statistics,York University,"Toronto, Canada","Statistics at York University is a field that provides the foundations and techniques to collect, analyze, and present information in an effective and efficient manner. Recent trends involve a resurgence of interest in methods for informal exploratory analysis of data. This relies increasingly on friendly computing environments supported by efficient algorithms.","19,002 EUR / year",month,48.0,B.A.,Full-time,Part-time,,,Bachelor's,B.A.,Full-time & Part-time,No,No,No
Applied Mathematics - Information Science,The City University of New York,"New York City, New York, United States",The Applied Mathematics - Information Science program offered by The City University of New York is designed for students with an interest in mathematics and real-world problem-solving.,"16,076 EUR / year",month,48.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
Computing and Information Sciences,University of West Florida,"Pensacola, Florida, United States",The B.S. in Computer Science (CS) degree program from University of West Florida emphasizes analytical thinking and problem solving involving scientific applications. ,188 EUR / credit,month,48.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
Information Engineering and Media,Nanyang Technological University,"Singapore, Singapore","What would you get when you add Art, Design and Media to the classical Engineering studies? You get a whole new exciting programme called the Bachelor of Engineering in Information Engineering and Media offered by Nanyang Technological University.","11,149 EUR / year",month,48.0,B.Eng.,Full-time,,,,Bachelor's,B.Eng.,Full-time,No,No,No
Computer Information Systems,Missouri Valley College,"Marshall, Missouri, United States","At Computer Information Systems from Missouri Valley College you’ll build a basic understanding of computer components, programs and programming languages. ","17,372 EUR / year",month,48.0,Bachelor,Full-time,,,,Bachelor's,Bachelor,Full-time,No,No,No
Business Analytics,University of Denver,"Denver, Colorado, United States",We offer a bachelor degree in Business Analytics at the University of Denver. Analytics is a challenging and exciting field that helps people and businesses make informed decisions based on quantitative information.,"45,458 EUR / year",month,48.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
Information Science,Cornell University,"Ithaca, New York, United States","At Cornell University, the Bachelor of Arts in Information Science (IS) allows students to study the design and use of information systems in a social context.","50,636 EUR / year",month,48.0,B.A.,Full-time,,,,Bachelor's,B.A.,Full-time,No,No,No
Geo-Information Science - Environmental Biology,University of Namibia,"Windhoek, Namibia","The Geo-Information Science - Environmental Biology program of University of Namibia is offered by the Faculty of Humanities & Social Sciences. The faculty boasts a number of highly qualified academics at professor level, while others hold doctoral and masters degrees.","1,554 EUR / year",month,48.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
Informatics – Healthcare Informatics,Liberty University,Online,The Informatics – Healthcare Informatics program at Liberty University integrates social sciences with multidimensional information systems to evaluate complex information processing.,393 EUR / credit,month,42.0,B.Sc.,Part-time,,,,Bachelor's,B.Sc.,Part-time,No,No,No
Computer Science with Artificial Intelligence(Hons),University of Brighton,"Brighton, England, United Kingdom","Artificial intelligence (AI) is making a positive impact by helping tackle societal and global economic challenges, and is being put to use in virtually every sector of the economy. It also brings convenience to daily life, powering virtual personal assistants and smart home devices. Computer Science with Artificial Intelligence(Hons) is offered by University of Brighton.","16,074 EUR / year",month,36.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
Information Technology,University of Phoenix,"Phoenix, Arizona, United States","In a competitive field like IT, skills alone will only take you so far. Which is why our Bachelor of Science in Information Technology (BSIT) from University of Phoenix goes a step further by preparing you to sit for the kind of industry certification exams that can set you apart from the pack. ",344 EUR / credit,month,48.0,B.Sc.,Full-time,Part-time,Online,,Bachelor's,B.Sc.,Full-time & Part-time,Yes,Yes,No
Systems Engineering Analysis,Drexel University College of Engineering,Online,The Systems Engineering Analysis program from Drexel University  is taught by experienced professionals who have worked in the DoD and commercial industries. ,"1,160 EUR / credit",month,12.0,Graduate Certificate,Part-time,,,,Bachelor's,Graduate Certificate,Part-time,No,No,No
Information Science and Arts,University of Arizona,"Tucson, Arizona, United States","Students pursuing the B.A. in Information Science and Arts at University of Arizona take courses in creative coding, human-computer interaction, virtual reality, user experience, interactive art, sound technology, multimedia design, and game development. ","31,633 EUR / year",month,48.0,B.A.,Full-time,,,,Bachelor's,B.A.,Full-time,No,No,No
Applied Statistical Analysis,California Baptist University,"Riverside, Ohio, United States","With the Applied Statistical Analysis program at California Baptist University , students will be fluent in today’s high-tech economy. In the scope of a career as a data scientist, students can work in such varied fields as climatology, ecology and more. ","28,472 EUR / year",month,48.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
Mathematical Analytics and Operations Research,"University of California, Davis","Davis, California, United States","Mathematical Analytics and Operations Research offered by the University of California, Davis, addresses a critical need in business for scientifically-trained analysts who can use mathematical models to interpret big data, analyze markets and forecast trends—this major is ideally suited to students with an interest in business or economics.","38,240 EUR / year",month,48.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
Management Information Systems,Augsburg University,"Minneapolis, Minnesota, United States","The major in Management Information Systems from Augsburg University prepares students for professional careers in information systems such as application developer, business systems analyst, IT consultant, or project manager.","34,897 EUR / year",month,48.0,Bachelor,Full-time,,,,Bachelor's,Bachelor,Full-time,No,No,No
Information Technology Management,Lipscomb University,"Nashville, Tennessee, United States",The Information Technology Management program offered by the Lipscomb University prepares students for various careers in the area of business information systems. ,"27,727 EUR / year",month,48.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
Cybersecurity and Information Assurance,University of Michigan-Dearborn,"Dearborn Heights, Michigan, United States","Computer security and privacy are among society’s most urgent emerging issues, and the Cybersecurity and Information Assurance program of University of Michigan-Dearborn will prepare you to take on a broad range of computer security and criminal justice challenges.","21,158 EUR / year",month,48.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
Computer Information Systems,Westminster College Salt Lake City,"Salt Lake City, Utah, United States",The Computer Information Systems program at Westminster College Salt Lake City combines computer technologies and business models to prepare students for a successful career.,"30,237 EUR / year",month,48.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
Pre-Bioinformatics,The University of Alabama at Birmingham,"Birmingham, Alabama, United States","The emerging field of Pre-Bioinformatics from The University of Alabama at Birmingham is an interdisciplinary research area that teaches you how to analyze large-scale datasets and apply that analysis to solve problems in a variety of professional, medical, and scholarly fields.","22,139 EUR / year",month,48.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
Geoinformatics,Universiti Teknologi Malaysia,"Kuala Lumpur, Malaysia","Geoinformatics from University Teknologi Malaysia is the art and science of gathering, processing, manipulating, managing, disseminating and applying geospatial data. ","5,546 EUR / year",month,48.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
Computational and Applied Mathematics and Statistics,College of William & Mary,"Williamsburg, Virginia, United States","The Computational and Applied Mathematics and Statistics (CAMS) program is an inter-disciplinary program drawing from the expertise of faculty in Applied Science, Biology, Economics, and Mathematics departments.","13,621 EUR / year",month,48.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
Health Science (Applied Statistics),Swinburne University of Technology,"Melbourne, Victoria, Australia",The Bachelor of Health Science (Applied Statistics) from the Swinburne University of Technology is designed to equip students for careers promoting health and wellbeing.Access laboratories and testing facilities equipped with the latest technology - Swinburne is the only university in Australia with MRI and MEG labs on campus.,"20,780 EUR / year",month,36.0,Bachelor,Full-time,Part-time,,,Bachelor's,Bachelor,Full-time & Part-time,No,No,No
Computer Science (Bioinformatics),Universiti Teknologi Malaysia,"Kuala Lumpur, Malaysia","The Bachelor of Computer Science (Bioinformatics) programme at the Universiti Teknologi Malaysia is a new academic programme offered by Faculty of Computing specially tailored to produce Computer Scientists who are able to utilize Computer Science techniques in managing and analysis biological data, problems and developing and discovering new findings in the field of biology.","5,546 EUR / year",month,48.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
Computer Information Systems,Augustana University,"Sioux Center, Iowa, United States",The Department of Computer Science at Augustana has forged an innovative undergraduate curriculum that will equip you with both a broad and deep understanding of the foundations of this modern technological world. ,"28,079 EUR / year",month,48.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
Bioinformatics and Computational Biology,University of Maryland Baltimore County,"Baltimore Highlands, Maryland, United States","In order to keep pace with one of the fastest growing fields in the country, the B.S. in Bioinformatics and Computational Biology at University of Maryland Baltimore County consists of a roughly equal amount of coursework in life sciences, computer science, and mathematics.","23,908 EUR / year",month,48.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
Information Systems,Liberty University,"Lynchburg, Tennessee, United States",Play a critical role in shaping the future of business with a Bachelor of Science in Information Systems at Liberty University.,"20,570 EUR / year",month,48.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
B.A. Information Sciences and Technology,Mercer University,"Macon, Georgia, United States","Computer Science offers several majors: a major in Computer Science leading to a B.S. degree, a major in Computer Science leading to a B.A. degree, a major in Computational Science leading to the B.S. degree, a major in Information Science and Technology leading to the B.S. degree, and a major in Information Science and Technology leading to the B.A. degree.","32,677 EUR / year",month,48.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
Computer and Information Sciences,Shepherd University,"Shepherdstown, West Virginia, United States","Computer Science is the study of computers and computational systems: their theory, design, development, and applications. Computer scientists design and analyze algorithms to solve problems and develop and study the performance of computer hardware and software. ","15,599 EUR / year",month,48.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
Analytical Science,Institute of Technology Carlow,"Carlow, Ireland","Analytical chemists investigate the chemical nature of substances to identify and understand how they behave in different conditions. In the pharmaceutical industry, for example, Analytical Chemists are involved throughout the drug development process to help determine the quality and stability of drug products.","10,250 EUR / year",month,36.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
Computer Science and Information Systems,Warsaw University of Technology,"Warsaw, Poland","B.Sc. Computer Science and Information Systems from Warsaw University of Technology comprises IT studies with strong foundation in mathematics and programming, with elements of modern databases, foundations of Artificial Intelligence, Windows programming, operating systems and computer network administration.","3,300 EUR / year",month,42.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
Statistics,Michigan State University,"East Lansing, Michigan, United States","The bachelor of arts program in Statistics from Michigan State University prepares students for careers in the modern, data-driven world. ","34,425 EUR / year",month,48.0,B.A.,Full-time,,,,Bachelor's,B.A.,Full-time,No,No,No
Applied Statistics,University of Michigan-Dearborn,"Dearborn Heights, Michigan, United States","With massive amounts of data collected from digital applications and mobile devices, the Applied Statistics program of University of Michigan-Dearborn will show students that applied statistics is one of the fastest growing career fields.","21,158 EUR / year",month,48.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
Geo Informatics,University of Petroleum and Energy Studies,"Dehra Dun, India","Gain an understanding of processing and simulation of scientific data required for the construction and monitoring of geo-structures, environmental modelling and analysis in the Geo Informatics program of the University of Petroleum and Energy Studies.","2,280 EUR / year",month,48.0,Bachelor,Full-time,,,,Bachelor's,Bachelor,Full-time,No,No,No
Statistics,Elon University,"Elon, North Carolina, United States",The Statistics major at Elon University is designed to provide strong interdisciplinary knowledge of the application and theory of statistics with an emphasis on real data collection and analysis.,"32,775 EUR / year",month,48.0,B.A.,Full-time,,,,Bachelor's,B.A.,Full-time,No,No,No
Information Technology,Grand Canyon University,"Phoenix, Arizona, United States","The Information Technology program at the Grand Canyon University prepares you to enter a career in the rapidly expanding field of information technology. This BS in information technology degree provides an understanding of the value of information technology and how this professional specialization can improve the performance, increase the efficiency and lower the cost of enterprise systems.","14,261 EUR / year",,,B.Sc.,Full-time,Part-time,Online,,Bachelor's,B.Sc.,Full-time & Part-time,Yes,Yes,No
Information Technology,Florida International University,"West Miami, Florida, United States","The BS in Information Technology degree from Florida International University presents a course of study that includes hands-on skill development in a broad array of subjects such as software development, databases, and networking. Students develop software in our state of the art labs that offer a variety of operating system and interactive development environments.","16,047 EUR / year",month,48.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
Informatics - Chemistry,Indiana University Bloomington,"Bloomington, Indiana, United States","In the B.S. in Informatics - Chemistry program at Indiana University Bloomington and then in your career, you’ll apply your tech knowledge to another area you’re interested in to create new uses for technology and the way people interact with it. ","33,115 EUR / year",month,48.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
"(Hons) Software Engineering,Bachelor of Information Technology",University of Kuala Lumpur,"Kuala Lumpur, Malaysia","(Hons) Software Engineering, Bachelor of Information Technology at University of Kuala Lumpur is ubiquitous and central to our lives. We interact daily with software systems – at home through computer games, at the office through on-line services and in the car through embedded control systems.","3,680 EUR / year",month,48.0,Bachelor,Full-time,,,,Bachelor's,Bachelor,Full-time,No,No,No
Statistics,Pennsylvania State University,"University Park, Pennsylvania, United States","This Statistics major at Pennsylvania State University helps prepare students with interests in mathematics, computation, and the quantitative aspects of science for careers in industry and government as statistical analysts, or for further graduate training in statistics.","30,128 EUR / year",month,48.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
Management Information Systems,Concordia University Nebraska,"Seward, Nebraska, United States","Studying Management Information Systems from Concordia University Nebraska will help you learn to manage the data, software and hardware of the information systems used to process and retrieve internal business information.","29,559 EUR / year",month,48.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
Health Information Management,University of Pittsburgh,"Pittsburgh, Pennsylvania, United States","Health Information Management (HIM) from the University of Pittsburgh stands at the critical intersection of medicine, business management, and information technology. ","35,875 EUR / year",month,24.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
Business Information Technology,Rogers State University,"Claremore, Oklahoma, United States",The Bachelor of Science in Business Information Technology is designed to meet the growing demand for information technology specialists who are able to communicate effectively and are knowledgeable of business needs. Students may choose from the following options.,"13,907 EUR / year",month,48.0,B.Sc.,Full-time,,,,Bachelor's,B.Sc.,Full-time,No,No,No
