course_name,institution,location,description,cost,dur_period,dur_number,extra_0,extra_1,extra_2,extra_3,extra_4
Computer Science (Research),University of Kent,Multiple locations,The Computer Science (Research) programme offered by the University of Kent is taught and supervised by leading researchers who are experts in their fields.,,month,12,Full-time,Part-time,,,
International Master in Business Analytics and Big Data (BABD),MIP Politecnico Di Milano,"Milano, Italy","The International Master in Business Analytics and Big Data - BABD at MIP Politecnico Di Milano is an innovative programme based on a holistic educational experience, where theory and practice are fully interlaced through the continuous support of companies and international partners. ","16,500 EUR / year",month,12,Full-time,,,,
Business Intelligence and Data Science,International School of Management (ISM),"München, Germany",The Business Intelligence and Data Science program at the International School of Management (ISM) provides you with comprehensive methodological knowledge for well-founded data retrieval as well as for intelligent and automatic data analysis.,"12,360 EUR / year",month,24,M.Sc.,Full-time,,,
Graduate Pathway in Data Science,INTO The University of Alabama at Birmingham,"Birmingham, Alabama, United States",The Graduate Pathway in Data Science will prepare you to enter your next semester of a master's degree program at The University of Alabama at Birmingham. ,"13,814 EUR / year",month,6,Pre-Master,Full-time,,,
Artificial Intelligence,"University of Winnipeg - Professional, Applied and Continuing Education (PACE)","Winnipeg, Canada","Be on the cutting edge of innovation with a diploma in AI and machine learning. In this program, graduates master the skills to create and use problem-solving algorithms to provide insights, predictions, and operationalization strategies needed to transform any organization into an innovative, efficient, and sustainable company of the future.","14,128 EUR / year",month,13,Postgraduate Diploma,Full-time,,,
Data Science and Analytics,Brunel University London,"London, England, United Kingdom","The Data Science and Analytics MSc programme at Brunel University London provides these skills, combining a strong academic degree course with hands-on experience of leading commercial technology, and the chance to gain industry certification. ","21,278 EUR / year",month,12,M.Sc.,Full-time,Part-time,,
Data Analytics,Drew University,"Madison, New Jersey, United States","The Data Analytics degree from Drew University will prepare you to become an advanced analyst who can create and develop data sets and analytic protocols, communicate your analytic findings to leaders and general audiences and ultimately participate in data-informed decision making.","19,292 EUR / year",month,12,M.Sc.,Full-time,,,
Software Testing and Verification MicroMasters Program,University System of Maryland - USMx,Online,EdX is an online learning platform trusted by over 12 million users offering the Software Testing and Verification MicroMasters Program in collaboration with University System of Maryland - USMx and UMUC. Learn methods and techniques to test and verify software to advance your career as a software tester or software developer.,648 EUR / full,month,6,Pre-Master,Part-time,,,
Financial Technology (FinTech),University of Stirling,"Stirling, Scotland, United Kingdom","The Financial Technology (FinTech) programme at the University of Stirling provides a solid foundation in computing technology, financial theory, ethical and regulatory constraints, and business skills.","22,901 EUR / year",month,12,M.Sc.,Full-time,Part-time,,
Data Analytics and Decision Science (DDS),RWTH Business School,"Aachen, Germany","By taking Data Analytics and Decision Science (DDS) master from RWTH Aachen University, graduates will learn how to combine machine learning and deep learning techniques with mathematical optimization approaches, heuristic algorithms and simulation techniques to create value in specific application areas. ","15,000 EUR / year",month,24,M.Sc.,Full-time,,,
Project Management (Data Analytics),Manchester Metropolitan University,"Manchester, England, United Kingdom",More data is available to businesses than ever before. With the MSc Project Management (Data Analytics) frorm Manchester Metropolitan University you’ll learn how to listen to what this data has to say – and how to use this information to guide your decision-making in managing and controlling projects.,"18,210 EUR / year",month,12,M.Sc.,Full-time,,,
Business Intelligence Systems and Data Mining,De Montfort University,"Leicester, England, United Kingdom","This Business Intelligence Systems and Data Mining course from De Montfort University provides you with the knowledge and skills to effectively develop, apply and research business intelligence systems.","16,113 EUR / year",month,12,Full-time,Part-time,Online,,
"Digital Business, Data Analysis and Management",SKEMA Business School,"Sophia Antipolis, France","The multidisciplinary Digital Business, Data Analysis and Management programme at the SKEMA Business School combines the fields of strategy, economics, marketing and information systems. It provides students with the knowledge and skills necessary to work in a data-rich digital environment.","17,000 EUR / year",month,12,M.Sc.,Full-time,,,
Computing Science,Radboud University,"Nijmegen, Netherlands","In this Master’s Computing Science programme at Radboud University, you can study the design and analysis of software, machine learning and big data, cyber security, or the logic and mathematics behind computation, but also the interplay between these areas. In the Computing Science Master's programme, you can opt for six specialisations.","12,645 EUR / year",month,24,M.Sc.,Full-time,,,
Satellite Applications (with Data Science),University of Strathclyde,"Glasgow, Scotland, United Kingdom","The MSc Satellite Applications (with Data Science) at University of Strathclyde offers training in satellite data acquisition, processing, interpretation, and application. Additionally, the course provides a focus on data science and entrepreneurship skills, requiring you to register a new business whilst studying for the MSc.","23,066 EUR / year",month,12,M.Sc.,Full-time,,,
Control Technologies,Kaunas University of Technology,"Kaunas, Lithuania","In the Control Technologies programme at Kaunas University of Technology, theory is accompanied by practicing in the labs which are equipped with the input of business partners: Texas Instruments, STMicroelectronics, Thermo Fisher, Siemens, etc.","4,300 EUR / year",month,24,M.Sc.,Full-time,,,
Data Science,University of Auckland,"Auckland, New Zealand",Learn how to make decisions using measurable data-driven insights with this Master of Data Science from University of Auckland.,"22,726 EUR / year",month,18,Full-time,Part-time,,,
Data Science (in planning),XU Exponential University of Applied Sciences,"Potsdam, Germany","With a master's degree in Data Science at XU Exponential University of Applied Sciences you are able to process very large amounts of data and and to evaluate the results, to obtain information from the results and to derive recommendations that enables a company to work more effectively and efficiently. ","8,995 EUR / year",month,24,M.Sc.,Full-time,,,
Graduate Pathway in Data Analytics Engineering,INTO George Mason University,"Fairfax, Virginia, United States",Students who successfully complete an INTO George Mason University Graduate Pathway in Data Analytics Engineering are assured progression to a Mason graduate degree program upon submission of additional required application materials.,"18,887 EUR / year",month,4,Pre-Master,Full-time,,,
Data Science,University of the Pacific,"Stockton, California, United States",The Data Science program from University of the Pacific equips students for the exciting field of data science.,"9,671 EUR / year",month,24,M.Sc.,Full-time,Blended Learning,,
Business Analytics,The University of Western Australia,"Perth, Western Australia, Australia","The Master of Business Analytics programme at The University of Western Australia equips students with the analytical skills needed to extract meaning from complex data sets, the ability to converse with other technical experts (such as computer scientists), and the capacity to make meaning of the output.","31,830 EUR / year",month,18,Full-time,Part-time,,,
Data Science,University of South Wales,"Pontypridd, Wales, United Kingdom",On the Data Science course from University of South Wales you will learn how to apply high level analytical skills and knowledge to solve a range of real-world problems.,"15,782 EUR / year",month,12,M.Sc.,Full-time,Part-time,,
Data Analytics for Business and Society,Ca' Foscari University of Venice,"Venice, Italy","This Data Analytics for Business and Society course from Ca' Foscari University of Venice is primarily aimed at students with a background in economics and business studies, who have a keen interest in quantitative methods and the mass use of data to maintain and increase the competitive advantage of a company, while also emphasising the aggregate economic impact","2,100 EUR / year",month,24,Full-time,,,,
Data Visualisation,University of the Arts London (UAL),"London, England, United Kingdom","The Data Visualisation programme offered by the University of the Arts London (UAL) is a practice-led course where students research, interpret, critique and visualise data using a range of media, tools and techniques.","20,236 EUR / year",month,15,M.A.,Full-time,,,
Data Science,University of the West of England (UWE Bristol),"Bristol, England, United Kingdom",The MRes Data Science at University of the West of England (UWE Bristol) is a multidisciplinary course that allows students to specialise in one of three areas relevant to today's digital economy.,"15,175 EUR / year",month,12,M.Res.,Full-time,Part-time,,
Data Analytics,De Montfort University,"Leicester, England, United Kingdom","This Data Analytics course from De Montfort University emphasises the concepts, techniques, development and application of business intelligence systems through industry-relevant software tools.","16,113 EUR / year",month,12,Full-time,Part-time,Online,,
Graduate Pathway in Data Analytics Engineering - Data Analytics Engineering,INTO George Mason University,"Fairfax, Virginia, United States",Students who successfully complete an INTO George Mason University Graduate Pathway in Data Analytics Engineering - Data Analytics Engineering are assured progression to a Mason graduate degree program upon submission of additional required application materials.,"18,887 EUR / year",month,4,Pre-Master,Full-time,,,
Data Analytics and Operations Management,Arden University,Online,"This Data Analytics and Operations Management programme offered by the Arden University will give you the range of skills and knowledge to prepare you for roles in operations management, learning core topics of innovation, risk and quality. ","6,957 EUR / year",month,18,M.Sc.,Part-time,,,
Computer Science in Data Science,Coursera - University of Illinois,Online,"Earn your Master of Computer Science in Data Science offered by Coursera in partnership with University of Illinois, learn from pioneering Illinois faculty, and gain the data science skills that are transforming business and society. ","8,676 EUR / year",month,24,M.Sc.,Part-time,,,
Data Science (Part-Time),"Birkbeck, University of London","London, England, United Kingdom","Funded by the Higher Education Funding Council for England (HEFCE), this intensive course in Data Science (Part-Time) at Birkbeck, University of London is designed for graduates who are new to computer science, providing an excellent grounding for working as a data scientist or analyst in industry.","8,388 EUR / year",month,24,M.Sc.,Part-time,,,
Data Science MicroMasters Program,"University of California, San Diego - UC San DiegoX",Online,"EdX is an online learning platform trusted by over 12 million users offering the Data Science MicroMasters Program in collaboration with University of California, San Diego - UC San DiegoX. Learn data science by doing data science.","1,214 EUR / full",month,10,Pre-Master,Part-time,,,
Electrical Engineering,University of Twente (UT),"Enschede, Netherlands","The Electrical Engineering programme offered by University of Twente (UT) challenges you to develop new methods and technologies for high-tech electronics-based systems in nanotechnology, robotics, electronics, telecommunication or biomedical systems.","15,750 EUR / year",month,24,M.Sc.,Full-time,,,
Data Analytics and Human Resource Management,Arden University,Online,This Data Analytics and Human Resource Management programme offered by the Arden University will provide you with valuable knowledge of how applied data can inform HR decisions that will benefit your business. ,"6,957 EUR / year",month,18,M.Sc.,Part-time,,,
Computational Data Science,Free University of Bozen-Bolzano,"Bolzano - Bozen, Italy","The Master in Computational Data Science at the Free University of Bozen-Bolzano will provide you with the key competencies that you will need to develop next-generation information systems used to describe and manage data, discover new facts and relations in the data, make predictions, and give advice to decision makers.","1,348 EUR / year",month,24,M.Sc.,Full-time,,,
Corporate Finance and Financial Analytics Full-Time Professional Certificates,UC Berkeley Global,"Berkeley, California, United States","Gain the skills to keep up in the fast-paced world of corporate finance and financial analytics with the Corporate Finance and Financial Analytics full-time certificates at Berkeley Global. Prepare for an internship. After completing two semesters of full-time study, you are eligible to apply for Optional Practical Training (OPT).","9,539 EUR / full",month,5,Postgraduate Diploma,Full-time,,,
Instructional Design and Technology MicroMasters Program,University System of Maryland - USMx,Online,EdX is an online learning platform trusted by over 12 million users offering the Instructional Design and Technology MicroMasters Program in collaboration with University System of Maryland - USMx and UMUC. Learn how to design and operate the learning platforms of the future.,690 EUR / full,month,8,Pre-Master,Part-time,,,
Data Science,Coursera - National Research University Higher School of Economics,Online,"The first fully online Master of Data Science at Coursera in partnership with the National Research University Higher School of Economics, a top-10 Russian university, featuring applied projects with industry partners like Yandex.",,month,20,Part-time,,,,
Physics of Complex Systems and Big Data,Tor Vergata University of Rome,"Roma, Italy",The graduate education of the Physics of Complex Systems and Big Data at Tor Vergata University of Rome aims to the development of a broad background in basic physics and broadly-applicable problem-solving skills. ,,month,24,M.Sc.,Full-time,,,
Pre-Master's - Data Analytics,INTO Manchester,"Manchester, England, United Kingdom",Join the Pre-Master's - Data Analytics course at INTO Manchester and prepare for direct entry to a range of postgraduate degrees in Business related subjects at a range of NCUK universities.,"11,511 EUR / year",month,6,Pre-Master,Full-time,,,
Data Science,Swansea University,"Swansea, Wales, United Kingdom",All programmes of study will be delivered in a dual way combining both online and face to face teaching as appropriate. Face to face teaching will be delivered in a blended format with no large lectures to begin with. Please visit our website for more information. The MSc in Data Science programme is offered by Swansea University.,,month,12,M.Sc.,Full-time,Part-time,,
"Graduate Diploma in Science, Computing and Engineering - Big Data",INTO University of Stirling,"Stirling, Scotland, United Kingdom","The Graduate Diploma in Science, Computing and Engineering - Big Data at INTO University of Stirling is a preparation program that upgrades your academic skills, English language level in order to be accepted to a Master’s program.","17,653 EUR / year",month,9,Pre-Master,Full-time,,,
Software Testing and Verification MicroMasters Program,University of Maryland University College - UMUCx,Online,EdX is an online learning platform trusted by over 12 million users offering the Software Testing and Verification MicroMasters Program in collaboration with University of Maryland University College - UMUCx. Learn methods and techniques to test and verify software to advance your career as a software tester or software developer.,648 EUR / full,month,6,Pre-Master,Part-time,,,
Extended MSc International Business with Data Analytics,Ulster University Birmingham Branch,"Birmingham, England, United Kingdom","The Extended MSc International Business with Data Analytics from Ulster University Birmingham Branch integrates the stand alone Graduate Certificate programme to allow entry for students with equivalent to a standard degree (third class, pass or ordinary).","16,279 EUR / year",month,15,Pre-Master,Full-time,,,
Data Science and Entrepreneurship,Tilburg University,"Tilburg, Netherlands","Combine management, entrepreneurship and business models with deep knowledge on data science methods from mathematics, statistics and computer science with the Data Science and Entrepreneurship programme offered by Tilburg University.","16,000 EUR / year",month,24,M.Sc.,Full-time,,,
Data Science - Business and Governance,Tilburg University,"Tilburg, Netherlands","The Data Science - Business and Governance programme of the MSc Communication and Information sciences at Tilburg University provides a combination of courses in methods of analysis, economics and management, as well as legal, and ethical perspectives on big data that is unique in Europe.","11,000 EUR / year",month,12,M.Sc.,Full-time,,,
Data Science (DSC),EIT Digital Master School,Multiple locations,"The Data Science (DSC) programme offered by EIT Digital Master School offers a unique two-year academic programme, whereby students study data science, innovation and entrepreneurship at two different leading European universities.","12,000 EUR / year",month,24,M.Sc.,Full-time,,,
Business Information Technology,University of Twente (UT),"Enschede, Netherlands","The Business Information Technology offered by the University of Twente (UT) covers the areas of enterprise architecture, IT management as well as data science and business. We offer courses on IT architectures, e-business, big data, business process modeling and design and project management. ","15,750 EUR / year",month,24,M.Sc.,Full-time,,,
Big Data Analytics,Florida Atlantic University - Online,Online,"To provide students with the knowledge necessary in this age of Big Data, the Department of Computer and Electrical Engineering and Computer Science (CEECS) and the Department of Information Technology and Operations Management (ITOM) have jointly designed the Big Data Analytics graduate certificate from Florida Atlantic University.",888 EUR / credit,,,Postgraduate Certificate,Part-time,,,
Data Science,International Accelerator at American University,"Washington, D. C., Washington, D.C., United States","The Data Science program at American University Washington DC is a one-semester, pre-master’s program designed specifically for international students. ","25,421 EUR / year",month,12,Pre-Master,Full-time,,,
Data Analytics Engineering,Solent University,Online,"Data Analytics Engineering programme at Southampton Solent University teaches students to make sense of a world where every action and transaction we perform has some aspect of data attached to it. Data analysts use these data sets to make meaningful inferences that can support business decisions, governmental policy changes and system designs.","15,346 EUR / year",month,12,M.Sc.,Full-time,,,
Computer Science,University of Birmingham,"Birmingham, England, United Kingdom",The Computer Science programme from University of Birmingham is a Masters degree course for students who have a first degree in a subject other than computing. ,"26,620 EUR / year",month,12,M.Sc.,Full-time,,,
Engineering (Internet of Things and Data Engineering),James Cook University,"Brisbane, Queensland, Australia",Gain advanced skills and knowledge highly-valued within the engineering sector through this robust postgraduate program in Engineering (Internet of Things and Data Engineering) at James Cook University.,"17,045 EUR / year",month,24,M.Eng.,Full-time,Part-time,,
Data Science,National Research University - Higher School of Economics (HSE),Online,"This Data Science programme from National Research University - Higher School of Economics (HSE) includes training in the fields of computational models, mathematical modelling and forecasting, computer architecture, advanced programming techniques, as well as data storage and retrieval. ","5,520 EUR / year",month,24,Full-time,Blended Learning,,,
Archival Studies,The University of Arizona Global Campus,Online,"The University of Arizona Global Campus will help international students like you stay on track toward an U.S. degree, wherever you are in the world. In an era of historic change in record-keeping practices and an increasingly competitive job market, students pursuing careers in archiving and records management need formal credentials based on rigorous training. Join the Archival Studies program to be prepared.","13,007 EUR / year",month,6,Postgraduate Certificate,Part-time,Blended Learning,,
Information Technology - Data Science,Charles Sturt University Study Centres,Multiple locations,"The Information Technology - Data Science course from Charles Sturt University provides you with an advanced IT qualification. You'll be encouraged to choose a specialism while studying core subjects such as ethics, project management, database systems and computer organisation and architecture.","15,407 EUR / year",month,24,Full-time,,,,
International Foundation in Actuarial Science - Data Analytics and Actuarial Science,INTO City University London,"London, England, United Kingdom",The International Foundation in Actuarial Science - Data Analytics and Actuarial Science programme at INTO City University London is a preparation degree designed for students who don’t yet meet the language scores or academic requirements for direct entry to their desired programme. ,"20,964 EUR / year",month,9,Pre-Master,Full-time,Blended Learning,,
Big Data Systems,National Research University - Higher School of Economics (HSE),"Moscow, Russia","The aim of the Big Data Systems programme at National Research University - Higher School of Economics (HSE) is to train specialists who are able to assess the impact of big data technologies on large enterprises and to suggest effective applications of these technologies, to use large volumes of saved information to create profit, and to compensate for costs associated with information storage.","5,663 EUR / year",month,24,M.Sc.,Full-time,Blended Learning,,
Data Science for Business,University of Stirling,"Stirling, Scotland, United Kingdom","The Data Science for Business programme at the University of Stirling is the first in Scotland to be run in partnership with SAS, a global leader in business analytics solutions. ","18,707 EUR / year",month,12,M.Sc.,Full-time,,,
Graduate Pathway in Health Data Science - Health Data Science,INTO Saint Louis University,"Saint Louis, Missouri, United States",An INTO SLU Graduate Pathway in Health Data Science - Health Data Science will prepare you to enter your next semester of a master’s degree program at Saint Louis University. ,"16,840 EUR / year",month,6,Pre-Master,Full-time,,,
Data Analytics,School of Economics and Management - University of Porto,Multiple locations,"The Master in Data Analytics from University of Porto is intended for decision-makers wishing to add value to their strategic capabilities by taking advantage of decision support and data analysis systems, as well as specialists in information processing wishing to participate in the development of computational systems for business intelligence and decision support.","5,000 EUR / year",month,24,Full-time,,,,
Big Data Analytics (Online),University of Derby,Online,"Big Data Analytics (Online) at University of Derby  gives you an in-depth knowledge and critical understanding of the key issues and concepts in today’s data-driven business and science landscapes. You will develop powerful skills in the extraction, analysis and management of information from big data using a variety of scientific techniques and software tools.","3,228 EUR / year",month,36,M.Sc.,Part-time,,,
Cyber Security and Data Governance Online,The University of Law Business School,Online,The MSc Cyber Security and Data Governance Online at The University of Law Business School provides a postgraduate award with a strong focus on employability.  ,"13,244 EUR / year",month,12,M.Sc.,Full-time,Part-time,,
Advanced Computer Science,University of Kent,"Canterbury, England, United Kingdom",The Advanced Computer Science programme taught at the University of Kent offers a largely free choice of modules from our range of Advanced Masters programmes.,"21,852 EUR / year",month,12,M.Sc.,Full-time,,,
Artificial Intelligence and Big Data,Anglia Ruskin University,"Cambridge, England, United Kingdom",The Artificial Intelligence and Big Data course at Anglia Ruskin University will help you gain transferable skills in AI to benefit your work place. Our course was designed in response to the high demand for experts in big data analysis and modelling.,"15,561 EUR / year",month,12,M.Sc.,Full-time,,,
Computing,Manchester Metropolitan University,"Manchester, England, United Kingdom","The MSc in Computing from Manchester Metropolitan University provides that tool. It’s a conversion course made for graduates from other disciplines, but it’s just as useful for professionals looking for a skills boost and professional progression. ","17,107 EUR / year",month,12,M.Sc.,Full-time,,,
Engineering Technology for Strategy and Security,University of Genova,"Genova, Italy","The Engineering Technology for Strategy and Security from University of Genova prepares young Engineers able to develop Models,  Algorithms & Simulators, analyze Big Data, apply AI (Artificial Intelligence), IA (Intelligent Agents) & Machine Learning techniques to support the Strategic Decision Making Process.","3,000 EUR / year",month,24,M.Sc.,Full-time,,,
Data Science for Business Joint Degree with Ecole Polytechnique,HEC Paris,"Jouy-en-Josas, France",This Data Science for Business Joint Degree with Ecole Polytechnique programme from HEC Paris will equip students with both the technical skills and the strategic mindset to lead successfully any business career requiring a strong expertise in Big Data.,"17,450 EUR / year",month,24,M.Sc.,Full-time,,,
Instructional Design and Technology MicroMasters Program,University of Maryland University College - UMUCx,Online,EdX is an online learning platform trusted by over 12 million users offering the Instructional Design and Technology MicroMasters Program in collaboration with University of Maryland University College - UMUCx. Learn how to design and operate the learning platforms of the future.,690 EUR / full,month,8,Pre-Master,Part-time,,,
Spatial Data Analysis and Visualization,Coursera,Online,"Industry areas that rely on spatial data analysis, remote sensing, cartography, and data visualization are growing at accelerated rates. With this Spatial Data Analysis and Visualization programme offered by Coursera in partnership with UC Davis, you’ll study at the graduate level to gain the Python programming language and GIS skills you need to advance your career.","2,601 EUR / full",month,6,Pre-Master,Part-time,,,
Algorithms and Data Structures MicroMasters Program,"University of California, San Diego - UC San DiegoX",Online,"EdX is an online learning platform trusted by over 12 million users offering the Algorithms and Data Structures MicroMasters Program in collaboration with University of California, San Diego - UC San DiegoX. A wealth of programming challenges to help you learn.","1,041 EUR / full",month,9,Pre-Master,Part-time,,,
Data Science for Management,Università Cattolica del Sacro Cuore,"Milano, Italy",The program in Data Science for Management from Università Cattolica del Sacro Cuore  offers a comprehensive training in computational and statistical methods for management from a problem-solving perspective.,"9,000 EUR / year",month,12,Full-time,,,,
Data Science and Advanced Analytics - Major in Business Analytics,NOVA IMS,"Lisbon, Portugal","The Master degree in Data Science and Advanced Analytics - Major in Business Analytics programme at NOVA IMS is aimed at market oriented people, who want to apply effective analytical models to different business problems, interpreting the results and their implications to the business, with the objective of taking data driven decisions to optimize the business process.","3,100 EUR / year",month,24,M.Sc.,Full-time,,,
Masters in Disruptive Innovation,Hult International Business School,"San Francisco, California, United States",Learn how to harness disruptive technologies to drive innovation and maintain relevance in a rapidly changing business landscape with Hult’s Masters in Disruptive Innovation.,"23,413 EUR / full",month,6,M.Sc.,Full-time,,,
Enterprise Intelligence,Northeastern University,"Boston, Massachusetts, United States","The MPS in Enterprise Intelligence program at Northeastern University prepares you to excel in the fast-growing and dynamic fields of machine learning and artificial intelligence, while focusing on data, technology, and human literacy.","17,603 EUR / year",month,24,Full-time,Part-time,,,
Data Science in Engineering,Eindhoven University of Technology (TU/e),"Eindhoven, Netherlands",The Data Science in Engineering programme from Eindhoven University of Technology (TU/e) is multidisciplinary and includes several core courses as well as great freedom of choice in the form of electives. ,"16,200 EUR / year",month,24,M.Sc.,Full-time,,,
Data Analytics (with Professional Experience),Faculty of Technology,"Portsmouth, England, United Kingdom","On this MSc Data Analytics (with Professional Experience) course at University of Portsmouth you'll combine a 6-month work placement or a professional experience module with taught modules that develop your skills in data analysis, and the application and management of big data. ","18,100 EUR / year",month,18,M.Sc.,Full-time,,,
Management with Business Analytics,Bournemouth University,"Bournemouth, England, United Kingdom","This conversion Management with Business Analytics course from Bournemouth University is delivered by the Business School, which has AACSB accreditation in recognition of our focus on excellence in all areas. It’s something that fewer than 5% of business schools worldwide have achieved, so you can be sure you’re in good hands.","16,279 EUR / year",month,12,M.Sc.,Full-time,,,
Cyber Security and Data Governance,The University of Law Business School,"London, England, United Kingdom","The MSc Cyber Security and Data Governance from The University of Law Business School focuses on a combination of technology, business and policy. ","18,762 EUR / year",month,12,M.Sc.,Full-time,,,
Engineering Science (Data Sciences),University at Buffalo SUNY - School of Engineering and Applied Sciences,"Buffalo, New York, United States","The MS in Engineering Science (Data Sciences) from University at Buffalo, The State University of New York School of Engineering and Applied Sciences, provides students with a core foundation in big data and analysis by obtaining knowledge, expertise, and training in data collection and management; data analytics; scalable data-driven discovery; and fundamental concepts. ","20,031 EUR / year",month,12,M.Sc.,Full-time,Part-time,,
Information Systems Management,De Montfort University,"Leicester, England, United Kingdom",The Information Systems Management MSc from De Montfort University is specially designed to meet the need for technically able graduates who are ideally suited to a management role in charge of information systems.,"16,113 EUR / year",month,12,Full-time,Part-time,,,
Data Science for Business,École Polytechnique,"Palaiseau, France","The MSc Data Science for Business taught by École Polytechnique is a two-year program designed for high-level, internationally oriented students. Taught jointly by École Polytechnique and HEC Paris, this program offers the unique opportunity to study at two world-leading institutions for engineering and business.","19,850 EUR / year",month,24,M.Sc.,Full-time,,,
Master of Business Administration (Data Analytics),Arden University,Online,We believe that modern leadership requires cross cutting management skills that apply to a range of business functions and themes during the Master of Business Administration (Data Analytics) programme offered by the Arden University.,"7,907 EUR / year",month,18,M.B.A.,Part-time,,,
Data Science,Macquarie University,"Sydney, New South Wales, Australia",The Data Science program at Macquarie University will provide you with the technical skills you’ll need to work in data science across a variety of industries.,"24,120 EUR / year",month,12,Full-time,,,,
